numero,proyecto,fecha,estado,titulo,autores
14804,14804/2025-CR,2026-06-15,EN COMISIÓN,"PROYECTO DE LEY QUE MODIFICA LA LEY 28667 LEY DECLARA LA REVERSIÓN DE PREDIOS RÚSTICOS AL DOMINIO DEL ESTADO, A FIN DE INCORPORAR EL PRINCIPIO DE CADUCIDAD, UNIFICAR EL ÁMBITO NORMATIVO DE APLICACIÓN, FORTALECER LA SEGURIDAD JURÍDICA Y AMPLIAR SU APLICACIÓN A CENTROS POBLADOS, CASERÍOS Y POSESIONES INFORMALES CONSOLIDADAS","Martínez Talavera, Pedro Edwin; Mori Celis, Juan Carlos; Vergara Mendoza, Elvis Hernán; Aragón Carreño, Luis Ángel; Alva Prieto, María del Carmen; Soto Palacios, Wilson"
14805,14805/2025-CR,2026-06-15,EN COMISIÓN,"PROYECTO DE LEY QUE MODIFICA LOS REQUISITOS DE DOCENCIA UNIVERSITARIA PREVISTOS EN EL NUMERAL 82.1 DE LA LEY N.° 30220, LEY UNIVERSITARIA","Marticorena Mendoza, Jorge Alfonso; Salhuana Cavides, Eduardo; Flores Ancachi, Jorge Luis; García Correa, Idelso Manuel; Heidinger Ballesteros, Nelcy Lidia; Acuña Peralta, María Grimaneza"
14806,14806/2025-CR,2026-06-17,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA INSTALACIÓN DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO EN EL DISTRITO DE LA UNIÓN, PROVINCIA Y DEPARTAMENTO DE PIURA","Zeta Chunga, Cruz Maria; Revilla Villanueva, César Manuel; Alegría García, Arturo; López Morales, Jeny Luz; Santisteban Suclupe, Magally; Huamán Coronado, Raúl"
14807,14807/2025-CR,2026-06-17,EN COMISIÓN,"PROYECTO DE LEY QUE DEROGA LA LEY N.° 32645, LEY QUE CREA EL COLEGIO PROFESIONAL DE ARTISTAS DEL PERÚ (CPAP)","Paredes Piqué, Susel Ana María; Reymundo Mercado, Edgard Cornelio; Luque Ibarra, Ruth; Bazán Narro, Sigrid Tesoro; Zeballos Madariaga, Carlos Javier"
14808,14808/2025-CR,2026-06-17,EN COMISIÓN,PROYECTO DE LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA EJECUCIÓN DEL PROYECTO DE MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR DE LA CARRETERA DEPARTAMENTAL CU-105,"Luque Ibarra, Ruth; Reymundo Mercado, Edgard Cornelio; Paredes Piqué, Susel Ana María; Bazán Narro, Sigrid Tesoro; Zeballos Madariaga, Carlos Javier"
14809,14809/2025-PE,2026-06-17,APROBADO,PROYECTO DE LEY DE CREACIÓN DEL DISTRITO DE SANGANI EN LA PROVINCIA DE CHANCHAMAYO DEL DEPARTAMENTO DE JUNÍN,
14810,14810/2025-CR,2026-06-18,EN COMISIÓN,PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA EL RECONOCIMIENTO COMO PATRIMONIO CULTURAL INMATERIAL DE LA NACIÓN DE LA FESTIVIDAD COSTUMBRISTA “EL MALLKU: LA Q’OCHA FIESTA”,"Cruz Mamani, Flavio; Mita Alanoca, Isaac; Gonza Castillo, Américo; Taipe Coronado, María Elizabeth; Montalvo Cubas, Segundo Toribio; Espiritu Cavero, Raul"
14811,14811/2025-CR,2026-06-18,EN COMISIÓN,"PROYECTO DE LEY QUE MODIFICA DIVERSOS ARTÍCULOS DE LA LEY N.° 28369, LEY DEL TRABAJO DEL PSICÓLOGO, A FIN DE FORTALECER EL EJERCICIO PROFESIONAL Y LA ATENCIÓN DE LA SALUD MENTAL","Cruz Mamani, Flavio; Mita Alanoca, Isaac; Gonza Castillo, Américo; Taipe Coronado, María Elizabeth; Montalvo Cubas, Segundo Toribio; Espiritu Cavero, Raul"
14812,14812/2025-CR,2026-06-18,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL INSTITUTO DE EDUCACIÓN SUPERIOR PEDAGÓGICO PÚBLICO DE ORURILLO, EN LA PROVINCIA DE MELGAR, DEPARTAMENTO DE PUNO","Cruz Mamani, Flavio; Gonza Castillo, Américo; Mita Alanoca, Isaac; Taipe Coronado, María Elizabeth; Montalvo Cubas, Segundo Toribio; Espiritu Cavero, Raul"
14813,14813/2025-CR,2026-06-18,EN COMISIÓN,PROYECTO DE LEY DE CONVERSIÓN DEL INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO PÚBLICO “SAN JOSÉ” DE TINTAY PUNCU EN UNIVERSIDAD NACIONAL SAN JOSÉ DEL VRAEM,"López Ureña, Ilich Fredy; Martínez Talavera, Pedro Edwin; Alva Rojas, Carlos Enrique; Aragón Carreño, Luis Ángel; Mori Celis, Juan Carlos; Vergara Mendoza, Elvis Hernán"
14814,14814/2025-CR,2026-06-18,DICTAMEN,"PROYECTO DE LEY QUE CREA LA UNIVERSIDAD NACIONAL DE PACHITEA (UNAPACHI) EN EL DISTRITO DE PANAO, PROVINCIA DE PACHITEA DEL DEPARTAMENTO DE HUÁNUCO","Montalvo Cubas, Segundo Toribio; Cruz Mamani, Flavio; Espiritu Cavero, Raul; Mita Alanoca, Isaac; Gonza Castillo, Américo; Agüero Gutiérrez, María Antonieta"
14815,14815/2025-CR,2026-06-18,EN COMISIÓN,"PROYECTO DE LEY QUE CREA LA UNIVERSIDAD NACIONAL DE MALA (UNAM) EN EL DISTRITO DE MALA, PROVINCIA DE CAÑETE DEL DEPARTAMENTO DE LIMA","Montalvo Cubas, Segundo Toribio; Cruz Mamani, Flavio; Espiritu Cavero, Raul; Mita Alanoca, Isaac; Gonza Castillo, Américo; Agüero Gutiérrez, María Antonieta"
14816,14816/2025-CR,2026-06-18,DICTAMEN,"PROYECTO DE LEY QUE CREA LA UNIVERSIDAD NACIONAL CIENTÍFICA DE LA MAR (UNCLAM) EN EL DISTRITO DE PATIBAMBA, PROVINCIA DE LA MAR, DEPARTAMENTO DE AYACUCHO","Montalvo Cubas, Segundo Toribio; Cruz Mamani, Flavio; Espiritu Cavero, Raul; Mita Alanoca, Isaac; Gonza Castillo, Américo; Agüero Gutiérrez, María Antonieta"
14817,14817/2025-GL,2026-06-19,EN COMISIÓN,PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA EL PROYECTO DE “MEJORAMIENTO Y CONSTRUCCIÓN DE LA CARRETERA ASFALTADA DOBLE VÍA CU-105 - CALCA – YANATILE,
14818,14818/2025-PE,2026-06-19,EN AGENDA DEL PLENO,"PROYECTO DE LEY QUE ADECÚA EL CÓDIGO PENAL, PROMULGADO POR DECRETO LEGISLATIVO N.° 635; EL CÓDIGO PROCESAL PENAL, PROMULGADO POR DECRETO LEGISLATIVO N.° 957; LA LEY N.° 30424, LEY QUE REGULA LA RESPONSABILIDAD ADMINISTRATIVA DE LAS PERSONAS JURÍDICAS EN EL PROCESO PENAL; EL DECRETO LEGISLATIVO N.° 1342, DECRETO LEGISLATIVO QUE PROMUEVE LA TRANSPARENCIA Y EL DERECHO DE ACCESO DE LA CIUDADANÍA AL CONTENIDO DE LAS DECISIONES JURISDICCIONALES; Y EL DECRETO LEGISLATIVO N.° 1373, DECRETO LEGISLATIVO SOBRE EXTINCIÓN DE DOMINIO, A ESTÁNDARES INTERNACIONALES EN EL COMBATE AL COHECHO TRANSNACIONAL",
14819,14819/2025-PE,2026-06-19,APROBADO,"PROYECTO DE RESOLUCIÓN LEGISLATIVA QUE AUTORIZA EL INGRESO DE UNIDADES NAVALES, AERONAVES Y DE PERSONAL MILITAR EXTRANJERO CON ARMAS DE GUERRA AL TERRITORIO DE LA REPÚBLICA DEL PERÚ",
14820,14820/2025-PE,2026-06-19,EN COMISIÓN,PROYECTO DE LEY DE SANEAMIENTO DE DOS TRAMOS DEL LÍMITE ENTRE LOS DEPARTAMENTOS DE JUNÍN Y PASCO,
14821,14821/2025-CR,2026-06-22,EN AGENDA DE LA COMISIÓN PERMANENTE,"PROYECTO DE LEY QUE FORTALECE LA LEY DEL COLEGIO DE PSICÓLOGOS DEL PERÚ, INCORPORANDO DISPOSICIONES COMPLEMENTARIAS FINALES, TRANSITORIAS Y DEROGATORIAS AL DECRETO LEY N.° 23019, LEY DE CREACIÓN DEL COLEGIO DE PSICÓLOGOS DEL PERÚ","Montalvo Cubas, Segundo Toribio; Cruz Mamani, Flavio; Agüero Gutiérrez, María Antonieta; Espiritu Cavero, Raul; Mita Alanoca, Isaac; Gonza Castillo, Américo"
14822,14822/2025-PE,2026-06-22,APROBADO,PROYECTO DE RESOLUCIÓN LEGISLATIVA QUE AUTORIZA EL INGRESO Y TRÁNSITO DE UNIDAD NAVAL Y PERSONAL MILITAR EXTRANJERO CON ARMAS DE GUERRA AL TERRITORIO DE LA REPÚBLICA DEL PERÚ,
14823,14823/2025-CR,2026-06-22,EN COMISIÓN,"PROYECTO DE LEY DE REFORMA CONSTITUCIONAL DEL ARTÍCULO 19 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ, A FIN DE QUE LAS UNIVERSIDADES E INSTITUCIONES EDUCATIVAS PRIVADAS PAGUEN IMPUESTOS","Gonza Castillo, Américo; Cruz Mamani, Flavio; Montalvo Cubas, Segundo Toribio; Espiritu Cavero, Raul; Agüero Gutiérrez, María Antonieta; Mita Alanoca, Isaac"
14824,14824/2025-CR,2026-06-22,EN COMISIÓN,"PROYECTO DE LEY QUE MODIFICA EL ARTÍCULO 13 DE LA LEY N.° 32586, NUEVA LEY DEL BOLETO TURÍSTICO, PARA ESTABLECER LA DEDUCCIÓN PREVIA DEL GASTO OPERATIVO DEL COSITUC","Marticorena Mendoza, Jorge Alfonso; Salhuana Cavides, Eduardo; Flores Ancachi, Jorge Luis; Heidinger Ballesteros, Nelcy Lidia; García Correa, Idelso Manuel; Acuña Peralta, María Grimaneza"
14825,14825/2025-PE,2026-06-22,APROBADO,PROYECTO DE RESOLUCIÓN LEGISLATIVA QUE AUTORIZA EL INGRESO DE PERSONAL MILITAR EXTRANJERO CON ARMAS DE GUERRA AL TERRITORIO DE LA REPÚBLICA DEL PERÚ,
14826,14826/2025-CR,2026-06-22,EN COMISIÓN,"PROYECTO DE LEY QUE GARANTIZA LA CONTINUIDAD, SOSTENIBILIDAD FINANCIERA Y OPORTUNA EJECUCIÓN DEL PROGRAMA BECA GENERACIÓN DEL BICENTENARIO","Montalvo Cubas, Segundo Toribio; Cruz Mamani, Flavio; Mita Alanoca, Isaac; Espiritu Cavero, Raul; Gonza Castillo, Américo; Taipe Coronado, María Elizabeth"
14827,14827/2025-CR,2026-06-23,EN COMISIÓN,"PROYECTO DE LEY QUE CREA EL DISTRITO DE SANGANI EN LA PROVINCIA DE CHANCHAMAYO, DEPARTAMENTO DE JUNÍN","Cerrón Rojas, Waldemar José; Cruz Mamani, Flavio; Mita Alanoca, Isaac; Espiritu Cavero, Raul; Gonza Castillo, Américo; Agüero Gutiérrez, María Antonieta"
14828,14828/2025-CR,2026-06-23,EN COMISIÓN,PROYECTO DE LEY QUE INTEGRA ESTRATÉGICAMENTE EL FONDO DE VIVIENDA POLICIAL CON EL SISTEMA NACIONAL DE VIVIENDA Y FOMENTA LA LIBERTAD DE ELECCIÓN HABITACIONAL,"Jiménez Heredia, David Julio; Ventura Ángel, Héctor José; Moyano Delgado, Martha Lupe; Chacón Trujillo, Nilza Merly; Huamán Coronado, Raúl; Zeta Chunga, Cruz Maria"
14829,14829/2025-CR,2026-06-23,EN COMISIÓN,PROYECTO DE LEY QUE CREA EL MARCO DEL PILOTO DE EMPLEO Y RECONVERSIÓN LABORAL VERDE EN LA REGIÓN JUNÍN,"Jiménez Heredia, David Julio; Ventura Ángel, Héctor José; Moyano Delgado, Martha Lupe; Chacón Trujillo, Nilza Merly; Huamán Coronado, Raúl; Zeta Chunga, Cruz Maria"
14830,14830/2025-CR,2026-06-23,EN COMISIÓN,PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL ECOPARQUE INDUSTRIAL DEL DEPARTAMENTO DE JUNÍN,"Jiménez Heredia, David Julio; Ventura Ángel, Héctor José; Zeta Chunga, Cruz Maria; Moyano Delgado, Martha Lupe; Chacón Trujillo, Nilza Merly; Huamán Coronado, Raúl"
14831,14831/2025-CR,2026-06-23,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE MOLLOMARCA, UBICADO EN LA PROVINCIA DE PAUCARTAMBO Y DEPARTAMENTO DE CUSCO","Bellido Ugarte, Guido; Orué Medina, Ariana Maybee; Picón Quedo, Luis Raúl; Laura Rojas, Judith; Tello Montes, Nivardo Edgar; Juárez Calle, Heidy Lisbeth"
14832,14832/2025-CR,2026-06-23,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE CHUNCHUQUILLO, UBICADO EN LA PROVINCIA DE JAÉN Y DEPARTAMENTO DE CAJAMARCA","Bellido Ugarte, Guido; Orué Medina, Ariana Maybee; Picón Quedo, Luis Raúl; Laura Rojas, Judith; Tello Montes, Nivardo Edgar; Juárez Calle, Heidy Lisbeth"
14833,14833/2025-CR,2026-06-23,EN COMISIÓN,"PROYECTO DE LEY QUE MODIFICA EL ARTÍCULO 13 DE LA LEY N.° 31199, LEY DE GESTIÓN Y PROTECCIÓN DE LOS ESPACIOS PÚBLICOS, A FIN DE OPTIMIZAR EL PROCEDIMIENTO DE DESAFECTACIÓN DE ESPACIOS PÚBLICOS","Martínez Talavera, Pedro Edwin; Aragón Carreño, Luis Ángel; Soto Palacios, Wilson; Mori Celis, Juan Carlos; Alva Rojas, Carlos Enrique; López Ureña, Ilich Fredy"
14834,14834/2025-CR,2026-06-23,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE TOTORAMA, UBICADO EN LA PROVINCIA DE CHUCUITO Y DEPARTAMENTO DE PUNO","Bellido Ugarte, Guido; Orué Medina, Ariana Maybee; Laura Rojas, Judith; Picón Quedo, Luis Raúl; Tello Montes, Nivardo Edgar; Juárez Calle, Heidy Lisbeth"
14835,14835/2025-CR,2026-06-23,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE SAN SALVADOR DE OSNO, UBICADO EN LA PROVINCIA DE LA MAR Y DEPARTAMENTO DE AYACUCHO","Bellido Ugarte, Guido; Juárez Calle, Heidy Lisbeth; Orué Medina, Ariana Maybee; Laura Rojas, Judith; Picón Quedo, Luis Raúl; Tello Montes, Nivardo Edgar"
14836,14836/2025-CR,2026-06-23,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE VISCOCHONI, UBICADO EN LA PROVINCIA DE PAUCARTAMBO Y DEPARTAMENTO DE CUSCO","Bellido Ugarte, Guido; Orué Medina, Ariana Maybee; Picón Quedo, Luis Raúl; Tello Montes, Nivardo Edgar; Juárez Calle, Heidy Lisbeth; Laura Rojas, Judith"
14837,14837/2025-CR,2026-06-23,EN COMISIÓN,PROYECTO DE LEY QUE REGULA EL PROCEDIMIENTO NO CONTENCIOSO DE RECONOCIMIENTO DE SENTENCIAS EXTRANJERAS EN MATERIA DE FAMILIA,"Orué Medina, Ariana Maybee; Bellido Ugarte, Guido; Picón Quedo, Luis Raúl; Paredes Castro, Francis Jhasmina; Juárez Calle, Heidy Lisbeth; Laura Rojas, Judith"
14838,14838/2025-CR,2026-06-23,EN COMISIÓN,"PROYECTO DE LEY QUE CREA EL DISTRITO DE SANGANI EN LA PROVINCIA DE CHANCHAMAYO, DEPARTAMENTO DE JUNÍN","Reymundo Mercado, Edgard Cornelio; Paredes Piqué, Susel Ana María; Luque Ibarra, Ruth"
14839,14839/2025-CR,2026-06-24,EN COMISIÓN,"PROYECTO DE LEY PARA EL DESARROLLO SOSTENIBLE, LA REMEDIACIÓN AMBIENTAL Y LA MEJORA DE LA CALIDAD DE VIDA EN LA CIUDAD DE CERRO DE PASCO","Dávila Atanacio, Pasión Neomías; Pariona Sinche, Alfredo; Flores Ramírez, Alex Randu; Robles Araujo, Silvana Emperatriz; Quito Sarmiento, Bernardo Jaime"
14840,14840/2025-CR,2026-06-24,EN COMISIÓN,"PROYECTO DE LEY QUE MODIFICA LA LEY 32309, LEY QUE CREA INCENTIVOS ECONÓMICOS Y FISCALES PARA EL FOMENTO DE LA ACTIVIDAD CINEMATOGRÁFICA Y AUDIOVISUAL DEL PERÚ, E INCORPORA UNA CUOTA DE PANTALLA OBLIGATORIA PARA LAS OBRAS CINEMATOGRÁFICAS Y AUDIOVISUALES PERUANAS","Paredes Piqué, Susel Ana María; Reymundo Mercado, Edgard Cornelio; Luque Ibarra, Ruth; Pablo Medina, Flor Aidee; Tacuri Valdivia, Germán Adolfo; Padilla Romero, Javier Rommel; Quito Sarmiento, Bernardo Jaime; Zeballos Madariaga, Carlos Javier"
14841,14841/2025-CR,2026-06-24,EN COMISIÓN,PROYECTO DE LEY QUE GARANTIZA LA EFICACIA PLENA DE LA FIRMA DIGITAL Y PROHÍBE LA EXIGENCIA DE FORMALIDADES ADICIONALES,"Ruíz Rodríguez, Magaly Rosmery; Salhuana Cavides, Eduardo; García Correa, Idelso Manuel; Heidinger Ballesteros, Nelcy Lidia; Acuña Peralta, María Grimaneza; Marticorena Mendoza, Jorge Alfonso; Camones Soriano, Lady Mercedes; Chiabra León, Roberto Enrique"
14842,14842/2025-CR,2026-06-24,EN COMISIÓN,PROYECTO DE LEY  QUE CREA  EL  DISTRITO DE SANGANI EN LA PROVINCIA DE CHANCHAMAYO DEL DEPARTAMENTO DE JUNÍN,"Robles Araujo, Silvana Emperatriz; Dávila Atanacio, Pasión Neomías; Pariona Sinche, Alfredo; Flores Ramírez, Alex Randu; Quito Sarmiento, Bernardo Jaime"
14843,14843/2025-CR,2026-06-24,EN COMISIÓN,PROYECTO DE LEY QUE MODIFICA LA DENOMINACIÓN DE LA UNIVERSIDAD NACIONAL AGRARIA JUAN VELASCO ALVARADO DE MAJES POR UNIVERSIDAD NACIONAL AGRARIA FRANCISCO MOSTAJO MIRANDA DE MAJES,"Alva Prieto, María del Carmen; Martínez Talavera, Pedro Edwin; Alva Rojas, Carlos Enrique; Aragón Carreño, Luis Ángel; Mori Celis, Juan Carlos; Monteza Facho, Silvia María"
14844,14844/2025-PE,2026-06-26,APROBADO,PROYECTO DE RESOLUCIÓN LEGISLATIVA QUE AUTORIZA EL INGRESO DE UNIDAD NAVAL Y DE PERSONAL MILITAR EXTRANJERO CON ARMAS DE GUERRA AL TERRITORIO DE LA REPÚBLICA DEL PERÚ,
14845,14845/2025-CR,2026-06-26,EN COMISIÓN,PROYECTO DE LEY QUE ESTABLECE LA INTANGIBILIDAD DE LAS FUENTES HÍDRICAS Y LAS ÁREAS DE CAPTACIÓN DE AGUA DE LAS EMPRESAS PRESTADORAS DE SERVICIOS EN LA SELVA AMAZÓNICA,"Valer Pinto, Héctor; Zea Choquechambi, Oscar; Pazo Nunura, Jose Bernardo; Gutiérrez Ticona, Paul Silvio; Medina Hermosilla, Elizabeth Sara; Azurín Loayza, Alfredo"
14846,14846/2025-CR,2026-06-26,EN COMISIÓN,"PROYECTO DE LEY QUE FORTALECE LA INTEGRIDAD, TRANSPARENCIA, AUTENTICIDAD, TRAZABILIDAD Y SEGURIDAD DEL SUFRAGIO, MODIFICA LA LEY N.° 26859, LEY ORGÁNICA DE ELECCIONES, E INCORPORA DELITOS ELECTORALES AL CÓDIGO PENAL PARA PROTEGER LA VOLUNTAD POPULAR","Gutiérrez Ticona, Paul Silvio; Valer Pinto, Héctor; Medina Hermosilla, Elizabeth Sara; Zegarra Saboya, Ana Zadith; Zea Choquechambi, Oscar; Pazo Nunura, Jose Bernardo"
14847,14847/2025-CR,2026-06-26,EN COMISIÓN,"PROYECTO DE RESOLUCIÓN LEGISLATIVA QUE MODIFICA E INCORPORA DIVERSOS ARTÍCULOS AL REGLAMENTO DE LA CÁMARA DE DIPUTADOS, A FIN DE FORTALECER SU AUTONOMÍA INSTITUCIONAL, LA DEMOCRACIA DELIBERATIVA, LA TRANSPARENCIA, LA CALIDAD NORMATIVA, EL SISTEMA DE COMISIONES, LA PARTICIPACIÓN CIUDADANA Y EL RESPETO DE LAS MINORÍAS PARLAMENTARIAS.","Gutiérrez Ticona, Paul Silvio; Valer Pinto, Héctor; Medina Hermosilla, Elizabeth Sara; Zegarra Saboya, Ana Zadith; Zea Choquechambi, Oscar; Pazo Nunura, Jose Bernardo"
14848,14848/2025-CR,2026-06-26,EN COMISIÓN,"PROYECTO DE RESOLUCIÓN LEGISLATIVA DEL SENADO QUE MODIFICA E INCORPORA DIVERSOS ARTÍCULOS AL REGLAMENTO DEL SENADO, A FIN DE FORTALECER SU FUNCIÓN DE REVISIÓN CONSTITUCIONAL, CALIDAD NORMATIVA, CONTROL POLÍTICO SUPERIOR, TRANSPARENCIA, CONTINUIDAD DEMOCRÁTICA Y DESIGNACIÓN MERITOCRÁTICA DE ALTOS FUNCIONARIOS","Gutiérrez Ticona, Paul Silvio; Valer Pinto, Héctor; Medina Hermosilla, Elizabeth Sara; Zegarra Saboya, Ana Zadith; Zea Choquechambi, Oscar; Pazo Nunura, Jose Bernardo"
14849,14849/2025-CR,2026-06-30,EN COMISIÓN,PROYECTO DE LEY QUE FACULTA EL SANEAMIENTO FINANCIERO EXCEPCIONAL DE LA EMPRESA NACIONAL DE LA COCA MEDIANTE LA CONDONACIÓN DE DEUDA CON EL FONAFE POR RAZONES DE INTERÉS NACIONAL,"Portero López, Hilda Marleny; Martínez Talavera, Pedro Edwin; Vergara Mendoza, Elvis Hernán; Alva Rojas, Carlos Enrique; Mori Celis, Juan Carlos; Aragón Carreño, Luis Ángel; Monteza Facho, Silvia María"
14850,14850/2025-CR,2026-07-02,EN COMISIÓN,PROYECTO DE LEY QUE REGULA EL SISTEMA REMUNERATIVO Y DE COMPENSACIONES DE LOS TRABAJADORES DEL SERVICIO DE SEGURIDAD PRIVADA ,"Gonza Castillo, Américo; Cruz Mamani, Flavio; Mita Alanoca, Isaac; Taipe Coronado, María Elizabeth; Cerrón Rojas, Waldemar José; Espiritu Cavero, Raul"
14851,14851/2025-PE,2026-07-02,EN COMISIÓN,"PROYECTO DE LEY QUE MODIFICA EL DECRETO LEGISLATIVO 1137, LEY DEL EJÉRCITO DEL PERÚ",
14852,14852/2025-PE,2026-07-02,EN COMISIÓN,PROYECTO DE LEY QUE ESTABLECE LA PROHIBICIÓN DE IMPORTACIÓN DE MERCANCÍAS PRODUCIDAS POR TRABAJO FORZOSO,
14853,14853/2025-CR,2026-07-03,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA EXCLUSIÓN DE PARTE DEL ÁREA DEL TERRENO DE LA FUERZA AÉREA DEL PERÚ, UBICADO EN LA CIUDAD DE PUERTO MALDONADO, DISTRITO DE TAMBOPATA, PROVINCIA DE TAMBOPATA, DEPARTAMENTO DE MADRE DE DIOS ","Salhuana Cavides, Eduardo; García Correa, Idelso Manuel; Camones Soriano, Lady Mercedes; Heidinger Ballesteros, Nelcy Lidia; Julón Irigoín, Elva Edhit; Cordero Jon Tay, Luis Gustavo; Chiabra León, Roberto Enrique; Flores Ancachi, Jorge Luis"
14854,14854/2025-CR,2026-07-03,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE ILLAHUASI, UBICADO EN EL DISTRITO DE ANDARAPA, PROVINCIA DE ANDAHUAYLAS Y DEPARTAMENTO DE APURÍMAC","Palacios Huamán, Margot; Tacuri Valdivia, Germán Adolfo; Quispe Mamani, Wilson Rusbel; Varas Meléndez, Elías Marcial; Sánchez Palomino, Roberto Helbert"
14855,14855/2025-CR,2026-07-03,EN COMISIÓN,"PROYECTO DE LEY INTEGRAL PARA LA PREVENCIÓN, ATENCIÓN Y REHABILITACIÓN DEL ACCIDENTE CEREBROVASCULAR","Bustamante Donayre, Carlos Ernesto; Flores Ruiz, Víctor Seferino; Ventura Ángel, Héctor José; Santisteban Suclupe, Magally; Jiménez Heredia, David Julio; Obando Morgan, Auristela Ana"
14856,14856/2025-CR,2026-07-06,EN COMISIÓN,"PROYECTO DE LEY QUE MODIFICA LA LEY N.° 31557, LEY QUE REGULA LA EXPLOTACIÓN DE LOS JUEGOS A DISTANCIA Y APUESTAS DEPORTIVAS A DISTANCIA, A FIN DE FORTALECER EL FINANCIAMIENTO DESCENTRALIZADO DE LOS SERVICIOS DE SALUD MENTAL","Chacón Trujillo, Nilza Merly; Jiménez Heredia, David Julio; Moyano Delgado, Martha Lupe; López Morales, Jeny Luz; Infantes Castañeda, Mery Eliana; Obando Morgan, Auristela Ana; Castillo Rivas, Eduardo Enrique"
14857,14857/2025-CR,2026-07-07,EN COMISIÓN,PROYECTO DE LEY NUEVA LEY GENERAL DE EDUCACIÓN,"Gutiérrez Ticona, Paul Silvio; Valer Pinto, Héctor; Pazo Nunura, Jose Bernardo; Zegarra Saboya, Ana Zadith; Paredes Gonzales, Alex Antonio; Zea Choquechambi, Oscar"
14858,14858/2025-CR,2026-07-07,EN COMISIÓN,"PROYECTO DE LEY QUE MODIFICA LA LEY N.° 32680, A FIN DE GARANTIZAR EL NOMBRAMIENTO EXCEPCIONAL EN LA CATEGORÍA DE DOCENTE AUXILIAR DE LOS JEFES DE PRÁCTICA DE UNIVERSIDADES PÚBLICAS QUE INGRESARON POR CONCURSO PÚBLICO Y MANTUVIERON CONTINUIDAD FUNCIONAL BAJO DENOMINACIONES CONTRACTUALES DISTINTAS","Agüero Gutiérrez, María Antonieta; Cruz Mamani, Flavio; Mita Alanoca, Isaac; Gonza Castillo, Américo; Espiritu Cavero, Raul; Cerrón Rojas, Waldemar José"
14859,14859/2025-CR,2026-07-10,PRESENTADO,PROYECTO DE LA NUEVA LEY DEL DOCENTE,"Gutiérrez Ticona, Paul Silvio; Valer Pinto, Héctor; Pazo Nunura, Jose Bernardo; Medina Hermosilla, Elizabeth Sara; Zegarra Saboya, Ana Zadith; Zea Choquechambi, Oscar"
