numero,proyecto,fecha,estado,titulo,autores
14760,14760/2025-CR,2026-06-10,EN COMISIÓN,PROYECTO DE LEY QUE FORTALECE LA LUCHA CONTRA EL CIBERCRIMEN MEDIANTE LA REGULACIÓN DEL USO ILÍCITO DE INTELIGENCIA ARTIFICIAL Y LA PROTECCIÓN DE LA IDENTIDAD DIGITAL,"Laura Rojas, Judith; Bellido Ugarte, Guido; Orué Medina, Ariana Maybee; Tello Montes, Nivardo Edgar; Juárez Calle, Heidy Lisbeth; Espinoza Vargas, Jhaec Darwin; Arriola Tueros, José Alberto"
14761,14761/2025-CR,2026-06-10,EN COMISIÓN,PROYECTO DE LEY QUE ASEGURA EL ACCESO A LA ANTICONCEPCIÓN QUIRÚRGICA VOLUNTARIA Y FORTALECE LA PROTECCIÓN CONTRA LA COERCIÓN EN LA PLANIFICACIÓN FAMILIAR,"Laura Rojas, Judith; Bellido Ugarte, Guido; Tello Montes, Nivardo Edgar; Arriola Tueros, José Alberto; Espinoza Vargas, Jhaec Darwin; Juárez Calle, Heidy Lisbeth"
14762,14762/2025-CR,2026-06-10,EN COMISIÓN,PROYECTO DE LEY QUE CREA EL SISTEMA NACIONAL DE PENSAMIENTO LÓGICO (SINAPEL) BASADO EN EL ENFOQUE DE APRENDIZAJE GRADUAL CON INTELIGENCIA ARTIFICIAL PARA EL FORTALECIMIENTO DE LA COMPETENCIA MATEMÁTICA EN LA EDUCACIÓN BÁSICA REGULAR,"Laura Rojas, Judith; Bellido Ugarte, Guido; Juárez Calle, Heidy Lisbeth; Orué Medina, Ariana Maybee; Arriola Tueros, José Alberto; Tello Montes, Nivardo Edgar; Espinoza Vargas, Jhaec Darwin"
14763,14763/2025-CR,2026-06-10,EN COMISIÓN,PROYECTO DE LEY DE FORMALIZACIÓN PRODUCTIVA PARA MIPYMES INDUSTRIALES,"Laura Rojas, Judith; Bellido Ugarte, Guido; Juárez Calle, Heidy Lisbeth; Tello Montes, Nivardo Edgar; Orué Medina, Ariana Maybee; Arriola Tueros, José Alberto; Espinoza Vargas, Jhaec Darwin"
14764,14764/2025-PE,2026-06-10,Publicada en el Diario Oficial El Peruano,PROYECTO DE RESOLUCIÓN LEGISLATIVA QUE AUTORIZA AL SEÑOR PRESIDENTE DE LA REPÚBLICA A SALIR DEL TERRITORIO NACIONAL DEL 15 AL 19 DE JUNIO DE 2026,
14765,14765/2025-CR,2026-06-10,EN COMISIÓN,"PROYECTO DE LEY QUE CREA EL INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO PÚBLICO TOTORA OROPESA DEL DISTRITO DE TOTORA OROPESA, PROVINCIA DE ANTABAMBA Y DEPARTAMENTO DE APURIMAC","Martínez Talavera, Pedro Edwin; Soto Palacios, Wilson; Mori Celis, Juan Carlos; Vergara Mendoza, Elvis Hernán; Portero López, Hilda Marleny; Aragón Carreño, Luis Ángel; López Ureña, Ilich Fredy"
14766,14766/2025-CR,2026-06-10,EN COMISIÓN,"PROYECTO DE LEY QUE CREA EL INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO PÚBLICO DE QUILLABAMBA, UBICADO EN EL CENTRO POBLADO QUILLABAMBA, DISTRITO DE KISHUARA, PROVINCIA DE ANDAHUAYLAS, DEPARTAMENTO DE APURIMAC","Martínez Talavera, Pedro Edwin; Soto Palacios, Wilson; Mori Celis, Juan Carlos; Vergara Mendoza, Elvis Hernán; Portero López, Hilda Marleny; Aragón Carreño, Luis Ángel; López Ureña, Ilich Fredy"
14767,14767/2025-CR,2026-06-10,EN COMISIÓN,"PROYECTO DE LEY DE CREACIÓN DEL INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO PÚBLICO DE MOLLEBAMBA, DISTRITO DE JUAN ESPINOZA MEDRANO, PROVINCIA DE ANTABAMBA Y DEPARTAMENTO DE APURÍMAC","Martínez Talavera, Pedro Edwin; Soto Palacios, Wilson; Mori Celis, Juan Carlos; Vergara Mendoza, Elvis Hernán; Portero López, Hilda Marleny; Aragón Carreño, Luis Ángel; López Ureña, Ilich Fredy"
14768,14768/2025-GL,2026-06-10,EN COMISIÓN,PROYECTO DE LEY DE CREACIÓN DE LA UNIVERSIDAD NACIONAL TECNOLÓGICA DE PUENTE PIEDRA,
14769,14769/2025-CR,2026-06-11,Publicada en el Diario Oficial El Peruano,PROYECTO DE RESOLUCIÓN LEGISLATIVA DEL CONGRESO QUE DELEGA EN LA COMISIÓN PERMANENTE LA FACULTAD DE LEGISLAR,"Rospigliosi Capurro, Fernando Miguel; Cerrón Rojas, Waldemar José; López Ureña, Ilich Fredy"
14770,14770/2025-CR,2026-06-11,EN COMISIÓN,PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DE FILIALES DE LA UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS Y LA UNIVERSIDAD NACIONAL DE INGENIERÍA EN LA COMUNIDAD CAMPESINA DE CARHUAPATA ,"Pariona Sinche, Alfredo; Quito Sarmiento, Bernardo Jaime; Dávila Atanacio, Pasión Neomías; Robles Araujo, Silvana Emperatriz"
14771,14771/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE INCORPORA LA CÁTEDRA DE INTELIGENCIA EMOCIONAL, SALUD MENTAL Y GESTIÓN DE RIESGOS DIGITALES EN EL CURRÍCULO NACIONAL DE EDUCACIÓN BÁSICA REGULAR, COMO MEDIDA DE PREVENCIÓN DEL SUICIDIO INFANTIL Y ADOLESCENTE","Laura Rojas, Judith; Bellido Ugarte, Guido; Juárez Calle, Heidy Lisbeth; Orué Medina, Ariana Maybee; Tello Montes, Nivardo Edgar; Arriola Tueros, José Alberto; Espinoza Vargas, Jhaec Darwin"
